,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A
210,4,4,4,3,5,3,1,2,4,2,2,3,5,2,5,2,2,4,5,4
211,1,4,5,2,1,5,4,1,5,5,1,5,1,4,1,4,3,1,1,3
212,5,5,2,1,5,1,3,4,4,1,1,5,3,1,5,2,5,5,5,5
213,5,4,2,3,4,1,1,3,1,1,1,4,4,1,4,1,1,4,5,5
214,1,4,1,3,4,1,1,4,5,4,2,1,4,3,4,1,3,5,5,2
215,5,2,1,3,3,1,1,3,3,3,1,5,1,3,3,5,1,2,5,5
216,4,4,2,1,5,2,2,2,4,1,2,4,4,1,4,4,1,3,5,5
217,5,5,5,4,4,4,4,5,4,2,1,1,1,1,5,5,5,5,5,1
218,4,4,3,4,4,1,1,3,3,4,1,2,2,3,1,2,1,4,5,2
219,1,3,5,4,2,4,2,1,5,4,1,1,4,3,3,5,1,1,4,1
220,2,1,4,5,2,5,4,1,5,4,3,1,2,5,3,5,2,2,4,1
221,1,4,5,5,1,2,4,1,5,5,1,2,1,2,1,2,1,3,5,3
222,1,1,4,5,1,2,2,1,5,5,4,1,1,3,1,1,2,1,5,1
223,2,1,4,3,5,2,2,2,5,5,1,5,1,1,3,1,1,1,4,1
224,4,1,1,4,5,2,1,2,4,4,1,5,4,1,4,4,1,5,5,1
225,5,2,2,5,5,2,2,1,5,2,1,5,4,1,4,5,5,1,5,1
226,2,4,2,4,3,2,2,2,4,2,2,4,2,2,4,2,2,2,5,2
227,2,1,3,4,4,4,2,2,5,4,1,2,4,1,2,3,4,4,5,1
228,4,4,1,3,4,1,1,2,2,1,1,5,4,1,5,1,1,4,5,4
229,5,4,2,1,5,2,3,4,4,2,1,4,2,1,2,1,3,5,5,2
230,1,1,5,5,1,5,4,1,5,5,1,1,1,2,1,1,5,2,2,1
231,2,4,4,4,4,2,2,4,4,2,1,4,2,3,3,2,2,4,4,1
232,2,2,3,3,4,4,1,2,3,4,2,5,2,2,3,4,3,2,5,2
233,4,3,4,2,4,3,2,2,4,3,2,3,4,2,3,3,3,3,3,2
234,5,5,1,2,1,4,1,4,5,1,1,5,4,2,5,1,5,5,5,5
235,5,2,2,3,2,1,1,3,1,3,1,5,3,1,3,1,1,5,5,4
236,3,4,2,2,4,2,1,5,2,2,1,5,4,1,5,2,1,4,5,3
237,2,1,1,1,5,1,4,1,3,4,1,5,5,1,5,1,1,5,5,5
238,3,4,2,3,4,2,2,4,5,2,1,5,2,1,4,3,2,5,5,3
239,2,2,4,2,4,3,2,4,4,5,1,4,1,2,2,2,3,2,5,4
240,4,4,2,1,5,1,1,4,4,4,1,5,5,1,5,1,1,4,4,3
241,5,5,4,3,4,1,1,2,2,2,2,5,4,1,4,2,1,4,5,3
242,4,4,1,1,5,1,2,5,2,2,1,3,4,1,5,1,1,5,5,2
243,1,3,2,5,3,2,1,1,5,1,3,4,2,4,4,1,1,5,2,2
244,5,5,2,1,5,3,3,4,2,2,2,5,3,1,4,2,5,5,5,5
245,4,2,2,4,5,4,1,1,5,5,1,4,4,1,4,5,2,5,5,1
246,4,4,1,2,3,1,1,4,2,1,1,5,5,1,5,1,1,4,5,3
247,4,3,2,4,5,2,2,2,3,4,1,4,3,2,3,3,2,5,5,4
248,5,4,1,3,4,1,1,4,2,2,1,5,4,2,4,2,1,5,5,3
249,4,4,1,1,4,1,1,4,2,1,1,5,4,1,4,1,1,5,5,5
250,5,4,2,1,5,1,1,3,3,1,1,4,5,2,4,1,1,4,4,2
251,4,4,3,2,4,2,2,4,2,2,1,4,4,2,4,2,2,4,5,2
252,4,4,5,2,5,4,2,4,5,1,1,4,1,1,4,4,2,5,4,1
253,5,5,4,1,4,1,1,5,2,1,1,5,4,1,3,4,1,4,5,3
254,4,3,4,3,5,2,2,4,3,4,2,5,3,2,4,1,2,3,4,2
255,1,3,5,4,1,5,4,1,5,5,2,1,1,4,1,4,5,4,4,1
256,3,5,1,2,4,2,1,5,4,2,1,3,5,1,2,1,3,4,5,2
257,5,5,1,1,5,1,1,5,2,1,1,5,5,1,5,1,1,5,5,5
258,5,5,2,1,5,2,1,5,4,1,1,5,5,1,5,1,1,5,5,1
259,5,5,1,1,1,1,1,5,1,3,1,5,5,1,5,1,1,5,5,3
260,1,3,1,1,4,1,1,1,1,4,1,2,1,3,4,3,3,5,5,2
261,3,4,5,4,5,4,5,2,5,5,4,3,1,3,3,5,1,2,2,3
262,5,5,1,1,4,3,1,2,1,1,1,5,5,1,3,1,1,5,5,1
263,4,1,1,5,4,1,1,1,4,5,1,4,1,1,1,2,1,4,5,1
264,5,1,3,1,4,4,5,1,5,5,1,5,5,1,1,1,4,5,5,1
265,1,2,3,4,1,2,1,1,4,4,2,2,2,3,4,2,4,2,5,1
266,5,1,2,1,1,5,5,1,5,5,1,2,1,2,1,5,5,1,1,1
267,5,1,5,4,5,2,1,4,5,5,2,5,4,2,1,1,3,1,1,3
268,5,1,5,5,1,5,5,1,5,1,1,1,1,1,1,5,5,1,3,3
269,4,4,2,3,4,1,1,4,3,2,1,3,2,1,2,1,3,4,5,3
270,4,4,1,1,1,1,1,4,3,2,1,5,4,1,5,1,1,5,5,3
271,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,5,1,5,5,5
272,1,1,5,1,5,5,5,2,5,1,1,1,1,1,5,5,2,1,5,1
273,5,1,1,2,5,1,1,5,3,2,1,5,1,1,5,1,1,2,5,5
274,5,1,5,5,4,5,4,2,5,5,5,4,1,4,1,4,4,3,1,1
275,5,1,5,3,3,4,3,4,5,3,2,3,1,3,1,1,3,4,5,3
276,4,3,3,5,4,3,2,2,5,2,3,3,1,4,4,2,4,4,5,1
277,3,3,2,4,2,2,2,2,4,4,3,4,2,4,2,4,3,2,4,1
278,3,5,2,2,3,3,1,5,3,3,1,3,3,2,5,4,2,4,5,1
279,3,2,3,4,1,3,2,3,5,3,2,3,3,3,3,4,1,2,5,1
280,1,1,4,4,5,4,4,4,5,3,3,5,1,1,2,4,1,4,1,1
281,1,1,4,3,2,2,2,1,5,5,2,1,1,2,2,5,3,1,4,1
282,3,5,2,3,5,1,1,4,3,2,1,4,4,1,4,2,1,5,5,1
283,1,4,5,4,5,5,4,2,5,5,2,1,4,1,2,2,1,2,5,1
284,1,2,1,5,5,4,3,1,5,5,1,5,3,3,3,5,4,2,5,1
285,1,2,5,5,1,5,2,1,5,1,1,1,1,1,5,5,1,1,5,1
286,2,4,2,5,5,2,3,1,5,5,2,1,1,5,4,5,3,5,3,3
287,1,2,5,5,2,4,1,2,5,5,2,1,1,4,4,5,2,4,5,1
288,1,1,4,2,4,4,2,2,5,5,2,5,1,1,1,5,1,4,5,4
289,5,3,5,3,5,3,5,1,5,5,2,5,1,2,3,5,4,4,1,3
290,1,3,5,3,5,3,4,1,5,5,1,5,1,1,1,5,1,1,5,1
291,5,4,2,2,5,4,2,5,5,1,1,5,4,1,2,2,1,2,5,5
292,4,4,2,2,4,3,1,4,4,2,2,4,2,1,5,2,2,4,4,1
293,5,4,1,1,5,1,1,2,1,1,1,5,5,1,5,1,1,5,5,1
294,1,1,1,5,5,1,2,5,5,2,1,5,1,5,4,5,1,1,5,3
295,2,4,2,2,3,4,3,1,4,4,1,1,4,2,5,2,2,5,2,1
296,1,1,1,5,1,1,1,1,5,5,1,5,1,5,1,1,1,1,5,1
297,5,1,5,3,5,5,5,1,5,5,1,5,5,1,1,5,1,1,3,5
298,3,1,5,5,4,3,3,1,5,5,3,1,1,5,4,5,5,4,2,1
299,5,5,2,2,5,1,2,3,1,2,1,5,5,1,5,1,1,4,5,1
300,5,4,1,3,3,2,2,4,4,4,1,5,2,1,3,2,1,5,5,4
301,2,5,1,2,2,1,1,1,4,2,1,2,4,1,4,1,5,4,4,2
302,5,5,1,1,5,1,1,5,1,1,1,5,5,2,5,1,1,5,4,4
303,2,4,4,2,2,5,1,4,5,5,3,2,1,1,1,4,3,4,5,4
