,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A
45135,5,4,4,4,4,1,1,2,2,2,1,5,2,2,3,5,4,3,5,2
27834,1,1,3,1,2,1,1,5,5,3,1,5,2,5,5,1,2,4,5,1
27086,5,4,1,1,4,1,1,5,3,3,1,5,3,1,5,5,1,1,5,5
19649,5,4,3,2,2,2,3,4,4,4,1,4,4,1,2,2,1,4,4,4
5941,3,2,3,4,4,4,4,3,5,4,1,3,4,2,4,1,2,4,5,4
69914,5,1,1,1,4,1,1,2,5,1,4,5,3,1,4,1,5,4,5,5
127,1,2,2,5,3,4,4,1,4,5,5,5,1,5,1,4,3,3,5,2
62653,3,4,2,5,2,2,1,4,5,3,2,2,2,4,2,4,3,5,5,1
19626,2,1,3,2,2,5,4,2,5,5,3,4,1,3,2,2,1,1,5,1
43611,2,2,2,4,4,1,1,1,5,2,1,5,1,1,4,5,2,5,5,1
23969,5,5,1,1,1,3,1,4,1,3,1,5,1,1,4,1,3,5,5,5
36967,3,2,4,4,4,5,3,4,5,5,5,4,5,4,3,5,3,4,3,4
21508,5,2,2,2,5,2,4,4,2,4,1,5,4,1,2,1,5,5,5,1
14458,1,2,4,5,5,3,2,1,5,5,2,2,2,4,5,2,2,3,4,1
71053,3,3,5,3,4,4,3,3,5,3,4,3,4,3,3,3,4,3,3,3
50090,5,3,2,3,5,1,1,5,1,1,2,5,5,1,5,1,1,5,5,1
48571,4,4,3,2,4,4,1,1,5,2,2,4,1,2,5,4,2,4,5,1
1805,4,3,2,3,2,4,1,1,5,4,1,4,4,2,2,1,5,4,5,4
23352,3,5,5,4,3,2,2,4,4,2,2,5,5,5,5,2,5,4,5,1
61598,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5
18729,1,4,2,2,3,5,5,4,5,3,3,1,4,2,3,4,1,2,3,2
17364,3,5,5,3,3,3,3,2,5,3,3,3,3,3,3,3,3,3,5,1
66243,4,4,4,3,5,4,1,2,4,4,1,2,1,1,3,2,1,5,5,4
7027,4,4,3,3,5,1,3,4,5,2,1,5,5,2,4,1,1,5,5,2
25415,1,1,5,3,4,3,1,5,5,1,1,4,4,4,4,2,2,1,2,2
42189,4,5,4,4,4,3,3,4,3,4,1,4,1,1,4,4,2,5,5,5
9075,2,2,3,4,2,3,3,4,5,4,1,1,2,2,2,5,3,2,4,3
15403,4,4,3,4,5,2,2,1,4,2,1,4,3,3,4,4,1,4,5,2
14192,5,3,1,1,5,1,1,1,5,5,1,5,4,3,4,1,1,5,5,1
36093,2,4,2,4,4,4,5,2,5,4,2,4,1,3,4,5,4,4,4,4
36401,5,5,1,2,4,1,1,2,1,1,1,5,4,2,4,1,3,5,3,3
22087,3,4,1,1,5,2,3,5,3,4,2,5,2,3,4,2,2,4,5,1
25473,5,4,4,3,5,2,1,2,4,5,1,2,4,4,5,1,1,2,5,1
22749,3,5,1,5,4,5,3,4,5,4,3,5,5,3,3,4,5,4,4,4
52646,3,2,3,2,4,5,5,4,5,4,3,3,1,3,3,5,3,5,2,1
16816,1,1,2,1,4,4,4,1,4,2,1,4,1,1,5,1,1,2,5,1
9354,5,5,4,1,4,4,1,5,3,4,2,4,1,1,5,2,3,3,4,1
36857,5,2,2,1,5,2,4,5,3,1,2,5,1,1,3,2,3,2,5,5
32165,4,4,1,2,5,1,1,4,2,2,2,4,2,1,5,1,1,5,5,3
831,4,1,3,4,2,2,2,2,4,2,1,1,2,2,3,4,4,2,5,1
67467,1,4,2,2,5,4,5,4,5,5,1,5,2,1,4,5,2,4,5,5
21581,5,4,1,2,5,1,5,4,1,2,1,5,5,1,3,5,1,5,5,4
67210,1,1,5,4,3,5,3,2,5,4,1,4,2,2,2,5,2,4,4,2
44645,4,2,3,4,2,2,3,4,4,4,2,4,2,3,4,1,2,1,5,1
35092,4,2,5,4,2,4,2,2,5,5,4,2,4,2,2,2,3,4,5,1
2359,4,4,3,3,4,4,4,4,4,2,4,5,3,1,5,2,1,5,4,4
24612,1,2,5,2,1,5,5,1,5,5,3,4,1,3,1,1,1,1,2,1
61071,2,2,4,1,4,1,1,1,3,5,2,5,4,1,5,1,2,4,2,1
5396,5,3,3,1,5,1,2,5,3,2,1,5,5,2,4,3,1,5,4,3
71815,5,5,1,1,5,1,1,5,1,2,1,5,5,1,5,1,1,5,5,4
30275,2,4,4,4,2,4,2,4,5,5,2,5,1,4,5,4,1,2,5,1
71964,1,1,5,5,2,5,2,1,5,5,3,4,1,3,1,2,1,4,5,1
3211,5,5,4,4,5,1,2,5,4,4,1,5,5,1,4,2,1,4,2,2
55999,5,4,1,3,5,1,1,4,1,1,1,5,4,2,4,1,4,5,4,3
49945,5,5,1,2,4,3,1,5,3,2,1,5,4,1,5,1,1,5,5,1
66880,3,2,4,4,4,2,2,2,4,4,2,4,2,1,4,2,3,4,4,3
28579,5,5,2,4,5,1,1,1,3,2,2,3,1,1,3,3,1,4,5,1
4264,3,2,4,4,3,4,2,1,5,3,1,4,4,2,2,3,3,4,4,1
29315,1,2,3,4,5,3,1,2,5,4,2,4,2,1,4,2,3,4,5,1
