,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
55549,3,5,4,1,5,2,2,5,3,1,2,4,5,3,5,1,2,4,5,1,0
17869,3,4,4,4,4,3,1,1,4,2,1,4,4,1,3,1,1,2,3,1,0
59273,5,5,3,1,5,1,1,5,5,2,1,5,5,1,4,1,1,4,5,1,0
49697,4,4,5,2,5,5,1,4,5,5,1,3,5,1,5,2,2,4,3,3,0
24377,2,4,3,3,2,2,3,2,5,5,2,5,4,4,2,2,2,4,5,3,1
52589,1,1,4,3,2,3,2,5,5,4,1,3,1,3,4,1,4,5,5,1,1
72854,5,5,3,5,5,1,1,4,5,1,1,5,2,1,5,1,1,1,5,1,0
8564,4,1,3,1,5,5,2,4,4,4,1,5,3,2,4,2,2,5,5,1,0
40992,5,5,3,1,4,1,1,5,5,1,1,5,5,1,5,1,1,5,3,5,0
49884,1,3,5,3,2,4,4,5,5,4,1,1,1,3,4,5,5,5,5,1,1
7781,5,3,4,4,2,5,4,4,5,2,5,3,5,2,4,4,3,3,3,1,1
66187,4,4,1,2,5,1,1,4,3,3,1,5,5,1,4,1,1,5,5,4,0
37417,1,3,2,4,1,2,2,1,4,5,2,2,2,1,2,2,3,3,5,1,1
26356,4,5,2,3,4,3,3,3,2,2,2,4,4,2,4,2,2,5,5,2,0
8703,3,1,3,4,2,5,5,3,5,4,1,2,2,2,1,3,1,4,2,3,1
37757,4,1,2,2,2,2,2,2,4,3,2,1,2,2,3,2,2,4,3,1,1
24094,4,2,5,5,4,4,4,4,5,3,4,2,3,2,2,4,3,2,4,1,1
65211,5,5,4,2,5,1,1,4,1,1,2,5,4,1,5,1,2,4,5,4,0
16570,1,1,3,2,3,5,3,2,5,5,1,3,1,3,2,4,4,5,5,3,1
68561,4,4,2,4,4,4,1,5,5,5,5,5,2,2,2,5,4,1,5,1,1
46515,1,4,3,1,4,2,2,4,3,2,1,4,3,3,2,1,1,5,5,1,0
27318,1,5,1,4,3,1,1,4,5,2,1,5,1,5,5,2,5,1,5,4,0
25303,4,1,4,3,2,5,5,3,5,4,1,3,2,1,4,3,5,3,5,3,1
5090,1,4,4,5,2,4,2,4,5,2,2,4,4,2,5,4,1,4,3,1,1
60058,5,5,1,3,4,2,2,3,2,1,1,4,5,3,2,1,3,5,4,3,0
3292,4,4,4,4,2,3,2,4,3,2,1,2,4,2,5,1,2,2,5,1,0
49863,2,2,4,2,3,4,4,4,5,4,1,5,5,2,5,1,2,4,5,4,0
33973,1,1,4,4,1,4,4,2,5,4,1,1,1,3,4,2,1,1,5,1,1
54388,3,3,3,1,5,1,1,5,3,3,1,5,5,1,5,1,4,5,5,1,0
71508,3,4,2,1,2,1,1,2,4,4,1,5,4,2,4,1,2,5,5,1,0
44420,5,4,1,4,4,1,1,4,2,1,1,5,1,1,5,1,1,4,5,2,0
37514,4,5,1,3,5,1,1,5,2,2,1,5,5,1,4,3,3,3,5,3,0
24457,1,1,2,4,3,5,4,2,5,5,1,2,3,1,4,3,1,4,5,4,1
56612,4,4,1,1,4,4,1,4,5,2,1,5,2,1,4,1,1,2,5,3,0
25694,4,4,2,4,4,2,1,4,3,2,2,2,2,2,5,2,5,4,5,1,0
49886,2,4,4,4,1,3,3,1,4,3,2,3,2,3,4,5,5,2,5,1,1
21210,1,1,5,1,4,5,5,4,5,2,1,4,4,1,2,2,5,1,5,2,1
20702,5,5,2,2,2,2,1,4,1,1,1,5,5,1,4,1,2,5,5,5,0
66070,2,4,4,1,5,4,1,2,4,3,1,5,5,1,4,1,3,5,5,3,0
6913,4,4,2,1,4,2,1,3,1,2,1,5,4,1,1,1,1,4,5,4,0
73052,5,5,1,1,3,3,1,3,2,5,1,3,1,5,3,5,2,5,3,3,0
38540,2,1,5,4,5,2,2,4,5,5,1,3,1,2,2,5,2,2,2,4,1
